swarm_x,obesity,Tract,GEOID,Highlight
-0.0393,25.2,Tract 126.01,36081012601,Other Queens tracts
0.0674,25.2,Tract 947,36081094700,Other Queens tracts
0.2062,25.2,Tract 513,36081051300,Other Queens tracts
-0.2062,25.2,Tract 28,36081002800,Other Queens tracts
0.2222,25.2,Tract 2,36081000200,Other Queens tracts
-0.2222,25.2,Tract 565,36081056500,Other Queens tracts
0.0021,25.1,Tract 142.02,36081014202,Other Queens tracts
0.0479,25.1,Tract 1227.03,36081122703,Other Queens tracts
-0.1106,25.1,Tract 142.01,36081014201,Other Queens tracts
0.1266,25.1,Tract 581,36081058100,Other Queens tracts
-0.1266,25.1,Tract 38,36081003800,Other Queens tracts
0.1426,25.1,Tract 478.01,36081047801,Other Queens tracts
-0.1426,25.1,Tract 838,36081083800,Other Queens tracts
0.1586,25.1,Tract 619,36081061900,Other Queens tracts
-0.1586,25.1,Tract 864,36081086400,Other Queens tracts
0.1746,25.1,Tract 16,36081001600,Other Queens tracts
-0.1746,25.1,Tract 269.01,36081026901,Other Queens tracts
0.1906,25.1,Tract 551,36081055100,Other Queens tracts
-0.1906,25.1,Tract 279,36081027900,Other Queens tracts
-0.0174,25,Tract 14,36081001400,Other Queens tracts
-0.079,25,Tract 283,36081028300,Other Queens tracts
0.095,25,Tract 549,36081054900,Other Queens tracts
-0.095,25,Tract 629,36081062900,Other Queens tracts
0.111,25,Tract 462,36081046200,Other Queens tracts
0.0335,24.9,Tract 657.02,36081065702,Other Queens tracts
-0.0634,24.9,Tract 281,36081028100,Other Queens tracts
0.0141,24.8,Tract 62.01,36081006201,Other Queens tracts
-0.0318,24.8,Tract 633.02,36081063302,Other Queens tracts
-0.0478,24.8,Tract 603,36081060300,Other Queens tracts
0.0599,24.8,Tract 495,36081049500,Other Queens tracts
0.0806,24.8,Tract 599,36081059900,Other Queens tracts
-0.0054,24.7,Tract 317,36081031700,Other Queens tracts
0.0455,24.6,Tract 329,36081032900,Other Queens tracts
0.1519,24.6,Tract 934.02,36081093402,Other Queens tracts
0.1679,24.6,Tract 337,36081033700,Other Queens tracts
0.026,24.5,Tract 220.01,36081022001,Other Queens tracts
-0.0198,24.5,Tract 116,36081011600,Other Queens tracts
-0.074,24.5,Tract 719,36081071900,Other Queens tracts
0.0926,24.5,Tract 98,36081009800,Other Queens tracts
0.1363,24.5,Tract 601,36081060100,Other Queens tracts
-0.1328,24.5,Tract 309.04,36081030904,Other Queens tracts
-0.1488,24.5,Tract 463,36081046300,Other Queens tracts
0.0066,24.4,Tract 30,36081003000,Other Queens tracts
0.0731,24.4,Tract 20,36081002000,Other Queens tracts
0.1207,24.4,Tract 100,36081010000,Other Queens tracts
-0.1172,24.4,Tract 33.02,36081003302,Other Queens tracts
0.0575,24.3,Tract 469.02,36081046902,Other Queens tracts
-0.0521,24.3,Tract 88,36081008800,Other Queens tracts
-0.0968,24.3,Tract 525,36081052500,Other Queens tracts
0.2119,24.3,Tract 511,36081051100,Other Queens tracts
-0.2045,24.3,Tract 517,36081051700,Other Queens tracts
0.2279,24.3,Tract 637,36081063700,Other Queens tracts
-0.2205,24.3,Tract 779.08,36081077908,Other Queens tracts
-0.0078,24.2,Tract 443.02,36081044302,Other Queens tracts
0.038,24.2,Tract 8,36081000800,Other Queens tracts
-0.0365,24.2,Tract 840,36081084000,Other Queens tracts
0.1063,24.2,Tract 253.01,36081025301,Other Queens tracts
-0.1729,24.2,Tract 134,36081013400,Other Queens tracts
-0.1889,24.2,Tract 542,36081054200,Other Queens tracts
0.0185,24.1,Tract 552,36081055200,Other Queens tracts
-0.0665,24.1,Tract 566,36081056600,Other Queens tracts
0.0851,24.1,Tract 161,36081016100,Other Queens tracts
-0.0825,24.1,Tract 58,36081005800,Other Queens tracts
-0.1413,24.1,Tract 130,36081013000,Other Queens tracts
0.1495,24.1,Tract 557,36081055700,Other Queens tracts
-0.1573,24.1,Tract 12,36081001200,Other Queens tracts
0.1655,24.1,Tract 351,36081035100,Other Queens tracts
0.1815,24.1,Tract 679,36081067900,Other Queens tracts
0.1975,24.1,Tract 521,36081052100,Other Queens tracts
-0.0221,24,Tract 10,36081001000,Other Queens tracts
-0.1097,24,Tract 1072.01,36081107201,Other Queens tracts
-0.1257,24,Tract 484,36081048400,Other Queens tracts
0.1339,24,Tract 114,36081011400,Other Queens tracts
0.0042,23.9,Tract 124,36081012400,Other Queens tracts
0.05,23.9,Tract 496,36081049600,Other Queens tracts
0.0707,23.9,Tract 667.01,36081066701,Other Queens tracts
0.1183,23.9,Tract 132,36081013200,Other Queens tracts
0.0305,23.8,Tract 136,36081013600,Other Queens tracts
-0.0545,23.8,Tract 158.01,36081015801,Other Queens tracts
0.0988,23.8,Tract 156,36081015600,Other Queens tracts
-0.0953,23.8,Tract 884,36081088400,Other Queens tracts
-0.1814,23.8,Tract 745,36081074500,Other Queens tracts
-0.0102,23.7,Tract 65.01,36081006501,Other Queens tracts
-0.0389,23.7,Tract 102,36081010200,Other Queens tracts
-0.074,23.7,Tract 583,36081058300,Other Queens tracts
0.158,23.7,Tract 493.01,36081049301,Other Queens tracts
-0.1658,23.7,Tract 115,36081011500,Other Queens tracts
0.174,23.7,Tract 693,36081069300,Other Queens tracts
0.0162,23.6,Tract 96,36081009600,Other Queens tracts
-0.1182,23.6,Tract 112,36081011200,Other Queens tracts
-0.1342,23.6,Tract 515,36081051500,Other Queens tracts
0.1424,23.6,Tract 659,36081065900,Other Queens tracts
-0.1502,23.6,Tract 934.01,36081093401,Other Queens tracts
-0.0245,23.5,Tract 460,36081046000,Other Queens tracts
0.0425,23.5,Tract 558,36081055800,Other Queens tracts
0.0632,23.5,Tract 159,36081015900,Other Queens tracts
0.0869,23.5,Tract 309.05,36081030905,Other Queens tracts
0.1108,23.5,Tract 492.02,36081049202,Other Queens tracts
0.1268,23.5,Tract 235.02,36081023502,Other Queens tracts
0.0018,23.4,Tract 26,36081002600,Other Queens tracts
-0.062,23.4,Tract 461,36081046100,Other Queens tracts
-0.0878,23.4,Tract 235.01,36081023501,Other Queens tracts
-0.1038,23.4,Tract 585,36081058500,Other Queens tracts
0.0282,23.3,Tract 106,36081010600,Other Queens tracts
-0.0464,23.3,Tract 104,36081010400,Other Queens tracts
-0.0125,23.2,Tract 553,36081055300,Other Queens tracts
0.0988,23.2,Tract 144,36081014400,Other Queens tracts
0.1816,23.2,Tract 466,36081046600,Other Queens tracts
-0.1893,23.2,Tract 143,36081014300,Other Queens tracts
0.0138,23.1,Tract 138,36081013800,Other Queens tracts
-0.032,23.1,Tract 482,36081048200,Other Queens tracts
0.0558,23.1,Tract 181.01,36081018101,Other Queens tracts
0.0794,23.1,Tract 214,36081021400,Other Queens tracts
-0.0758,23.1,Tract 467,36081046700,Other Queens tracts
0.1373,23.1,Tract 633.01,36081063301,Other Queens tracts
0.0401,23,Tract 645,36081064500,Other Queens tracts
-0.0953,23,Tract 665.01,36081066501,Other Queens tracts
-0.124,23,Tract 145,36081014500,Other Queens tracts
-0.1527,23,Tract 635,36081063500,Other Queens tracts
0.1673,23,Tract 919,36081091900,Other Queens tracts
-0.175,23,Tract 287,36081028700,Other Queens tracts
-5e-4,22.9,Tract 147,36081014700,Other Queens tracts
-0.0615,22.9,Tract 641.01,36081064101,Other Queens tracts
0.123,22.9,Tract 587,36081058700,Other Queens tracts
0.1517,22.9,Tract 539.01,36081053901,Other Queens tracts
0.2096,22.9,Tract 31,36081003100,Other Queens tracts
0.0258,22.8,Tract 1195,36081119500,Other Queens tracts
-0.02,22.8,Tract 562,36081056200,Other Queens tracts
-0.0459,22.8,Tract 141,36081014100,Other Queens tracts
0.0913,22.8,Tract 113,36081011300,Other Queens tracts
0.1073,22.8,Tract 639,36081063900,Other Queens tracts
-0.1097,22.8,Tract 103,36081010300,Other Queens tracts
-0.1384,22.8,Tract 40.02,36081004002,Other Queens tracts
-0.1978,22.8,Tract 560,36081056000,Other Queens tracts
