Tract,GEOID,Obesity rate,Highlight
Tract 238,36081023800,25.6,Other Queens tracts
Tract 105,36081010500,25.5,Other Queens tracts
Tract 62.02,36081006202,25.5,Other Queens tracts
Tract 83,36081008300,25.5,Other Queens tracts
Tract 327,36081032700,25.4,Other Queens tracts
Tract 353,36081035300,25.4,Other Queens tracts
Tract 595.01,36081059501,25.3,Other Queens tracts
Tract 627,36081062700,25.3,Other Queens tracts
Tract 818,36081081800,25.3,Other Queens tracts
Tract 925,36081092500,25.3,Other Queens tracts
Tract 126.02,36081012602,25.3,Other Queens tracts
Tract 158.02,36081015802,25.3,Other Queens tracts
Tract 149,36081014900,25.2,Other Queens tracts
Tract 126.01,36081012601,25.2,Other Queens tracts
Tract 947,36081094700,25.2,Other Queens tracts
Tract 513,36081051300,25.2,Other Queens tracts
Tract 28,36081002800,25.2,Other Queens tracts
Tract 2,36081000200,25.2,Other Queens tracts
Tract 565,36081056500,25.2,Other Queens tracts
Tract 142.02,36081014202,25.1,Other Queens tracts
Tract 1227.03,36081122703,25.1,Other Queens tracts
Tract 142.01,36081014201,25.1,Other Queens tracts
Tract 581,36081058100,25.1,Other Queens tracts
Tract 38,36081003800,25.1,Other Queens tracts
Tract 478.01,36081047801,25.1,Other Queens tracts
Tract 838,36081083800,25.1,Other Queens tracts
Tract 619,36081061900,25.1,Other Queens tracts
Tract 864,36081086400,25.1,Other Queens tracts
Tract 16,36081001600,25.1,Other Queens tracts
Tract 269.01,36081026901,25.1,Other Queens tracts
Tract 551,36081055100,25.1,Other Queens tracts
Tract 279,36081027900,25.1,Other Queens tracts
Tract 14,36081001400,25.0,Other Queens tracts
Tract 283,36081028300,25.0,Other Queens tracts
Tract 549,36081054900,25.0,Other Queens tracts
Tract 629,36081062900,25.0,Other Queens tracts
Tract 462,36081046200,25.0,Other Queens tracts
Tract 657.02,36081065702,24.9,Other Queens tracts
Tract 281,36081028100,24.9,Other Queens tracts
Tract 62.01,36081006201,24.8,Other Queens tracts
Tract 633.02,36081063302,24.8,Other Queens tracts
Tract 603,36081060300,24.8,Other Queens tracts
Tract 495,36081049500,24.8,Other Queens tracts
Tract 599,36081059900,24.8,Other Queens tracts
Tract 317,36081031700,24.7,Other Queens tracts
