GEOID,county,population_estimate,med_inc_estimate,pct_female,pct_white,pct_black,pct_asian,pct_hispanic,pct_poverty,TractFIPS,CountyName,OBESITY_CrudePrev,med_inc_10k
36081017000,Queens County,2674.0,81786.0,0.524682124158564,0.006731488406881077,0.3548990276738968,0.3661181750186986,0.09536275243081525,0.08264771877337322,36081017000,Queens,26.5,8.1786
36085027706,Richmond County,3625.0,73322.0,0.5122758620689655,0.5646896551724138,0.09655172413793103,0.1553103448275862,0.1343448275862069,0.1907530454042082,36085027706,Richmond,31.0,7.3322
36047019700,Kings County,3754.0,107149.0,0.5277037826318594,0.5183803942461375,0.2690463505594033,0.05327650506126798,0.10202450719232818,0.0499866345896819,36047019700,Kings,20.5,10.7149
36103158325,Suffolk County,7666.0,82439.0,0.4778241586224889,0.6517088442473259,0.11714062092355856,0.05974432559352987,0.14583876858857292,0.06731020088703366,36103158325,Suffolk,31.2,8.2439
36047025800,Kings County,4871.0,58490.0,0.49538082529254773,0.41244097721207146,0.0,0.2966536645452679,0.2757134058714843,0.2718086203340895,36047025800,Kings,22.1,5.849
36081010800,Queens County,3377.0,88636.0,0.45424933372816106,0.027539236008291383,0.05715131773763696,0.5762511104530649,0.12970091797453362,0.20682492581602374,36081010800,Queens,22.5,8.8636
36005011900,Bronx County,6193.0,32007.0,0.4660100113030841,0.032455998708218955,0.28128532213789764,0.0,0.6633295656386242,0.3119325551232166,36005011900,Bronx,35.1,3.2007
36087011901,Rockland County,3614.0,88382.0,0.5041505257332596,0.5008301051466519,0.1787493082457111,0.04233536247924737,0.23685666851134476,0.0892128279883382,36087011901,Rockland,30.2,8.8382
36119008802,Westchester County,2424.0,95305.0,0.5668316831683168,0.5276402640264026,0.11221122112211221,0.14232673267326731,0.19801980198019803,0.06765676567656766,36119008802,Westchester,25.5,9.5305
36119002000,Westchester County,4242.0,112634.0,0.5495049504950495,0.5535124941065536,0.07119283356907119,0.09877416313059878,0.2123998114097124,0.027928994082840237,36119002000,Westchester,22.7,11.2634
36081097204,Queens County,4094.0,56586.0,0.6016121152906693,0.10527601367855398,0.5512945774303859,0.0495847581827064,0.2740595994137763,0.0927922814982974,36081097204,Queens,31.3,5.6586
36081052500,Queens County,2647.0,66667.0,0.45749905553456743,0.5209671326029467,0.009822440498677748,0.04231205137891953,0.38798639969777104,0.07782395164336985,36081052500,Queens,24.3,6.6667
36065021402,Oneida County,1765.0,58021.0,0.4521246458923513,0.6373937677053825,0.11331444759206799,0.0,0.18470254957507082,0.23286118980169973,36065021402,Oneida,38.7,5.8021
